date,game_id,team,opponent,inning,count,player_1,player_2,player_3,player_4,player_5
2025/05/02,ANA202505020,DET,ANA,9,2,Riley Greene,Colt Keith,,,
2025/06/20,ANA202506200,HOU,ANA,1,2,Jeremy Pena,Isaac Paredes,,,
2025/06/25,ANA202506250,ANA,BOS,4,2,Jo Adell,Travis d'Arnaud,,,
2025/09/06,ANA202509060,ANA,ATH,8,2,Matthew Lugo,Jo Adell,,,
2025/04/09,ARI202504090,ARI,BAL,5,2,Pavin Smith,Josh Naylor,,,
2025/06/10,ARI202506100,SEA,ARI,6,2,Randy Arozarena,Rowdy Tellez,,,
2025/07/01,ARI202507010,ARI,SFN,6,2,Randal Grichuk,James McCann,,,
2025/09/01,ARI202509010,ARI,TEX,1,2,Ketel Marte,Geraldo Perdomo,,,
2025/03/31,ATH202503310,CHN,ATH,1,2,Michael Busch,Dansby Swanson,,,
2025/04/24,ATH202504240,TEX,ATH,4,2,Josh Jung,Jonah Heim,,,
2025/05/09,ATH202505090,NYA,ATH,3,2,Paul Goldschmidt,Jasson Dominguez,,,
2025/05/21,ATH202505210,ANA,ATH,4,2,Logan O'Hoppe,Jo Adell,,,
2025/06/17,ATH202506170,HOU,ATH,4,2,Cam Smith,Mauricio Dubon,,,
2025/08/11,ATH202508110,TBA,ATH,7,2,Brandon Lowe,Junior Caminero,,,
2025/08/17,ATH202508170,ATH,ANA,3,2,Nick Kurtz,Shea Langeliers,,,
2025/09/24,ATH202509240,ATH,HOU,7,2,Shea Langeliers,Tyler Soderstrom,,,
2025/09/28,ATH202509280,KCA,ATH,7,2,Mike Yastrzemski,Carter Jensen,,,
2025/04/04,ATL202504040,ATL,MIA,7,2,Marcell Ozuna,Matt Olson,,,
2025/06/05,ATL202506050,ATL,ARI,6,2,Ronald Acuna Jr.,Drake Baldwin,,,
2025/08/07,ATL202508070,ATL,MIA,1,2,Drake Baldwin,Marcell Ozuna,,,
2025/08/23,ATL202508230,NYN,ATL,7,2,Pete Alonso,Mark Vientos,,,
2025/08/23,ATL202508230,NYN,ATL,9,2,Mark Vientos,Jeff McNeil,,,
2025/09/07,ATL202509070,SEA,ATL,3,2,Jorge Polanco,Josh Naylor,,,
2025/04/17,BAL202504170,CLE,BAL,3,2,Daniel Schneemann,Austin Hedges,,,
2025/04/19,BAL202504190,BAL,CIN,1,2,Cedric Mullins,Gunnar Henderson,,,
2025/04/19,BAL202504190,BAL,CIN,7,2,Ramon Laureano,Jordan Westburg,,,
2025/04/29,BAL202504290,NYA,BAL,1,3,Trent Grisham,Aaron Judge,Ben Rice,,
2025/05/04,BAL202505040,KCA,BAL,7,2,Bobby Witt Jr.,Vinnie Pasquantino,,,
2025/05/14,BAL202505142,BAL,MIN,3,2,Cedric Mullins,Heston Kjerstad,,,
2025/05/15,BAL202505150,MIN,BAL,3,2,DaShawn Keirsey Jr.,Byron Buxton,,,
2025/05/18,BAL202505180,WAS,BAL,2,2,Dylan Crews,CJ Abrams,,,
2025/06/14,BAL202506140,BAL,ANA,6,2,Cedric Mullins,Gary Sanchez,,,
2025/06/24,BAL202506240,BAL,TEX,7,3,Gary Sanchez,Ramon Urias,Ryan O'Hearn,,
2025/07/13,BAL202507130,MIA,BAL,3,2,Kyle Stowers,Otto Lopez,,,
2025/07/28,BAL202507280,BAL,TOR,2,2,Cedric Mullins,Coby Mayo,,,
2025/07/29,BAL202507291,BAL,TOR,6,2,Tyler O'Neill,Ramon Urias,,,
2025/08/08,BAL202508080,BAL,ATH,1,2,Adley Rutschman,Ryan Mountcastle,,,
2025/09/07,BAL202509070,LAN,BAL,3,2,Shohei Ohtani,Mookie Betts,,,
2025/04/04,BOS202504040,BOS,SLN,1,2,Trevor Story,Wilyer Abreu,,,
2025/05/16,BOS202505160,ATL,BOS,2,2,Matt Olson,Sean Murphy,,,
2025/05/17,BOS202505170,ATL,BOS,1,2,Matt Olson,Marcell Ozuna,,,
2025/06/29,BOS202506290,TOR,BOS,1,2,Addison Barger,Vladimir Guerrero Jr.,,,
2025/08/04,BOS202508040,KCA,BOS,8,2,Vinnie Pasquantino,Maikel Garcia,,,
2025/04/29,CHA202504290,CHA,MIL,1,2,Andrew Benintendi,Luis Robert Jr.,,,
2025/05/21,CHA202505210,CHA,SEA,4,2,Lenyn Sosa,Joshua Palacios,,,
2025/06/06,CHA202506060,KCA,CHA,3,2,Maikel Garcia,Vinnie Pasquantino,,,
2025/06/19,CHA202506192,SLN,CHA,3,2,Alec Burleson,Nolan Arenado,,,
2025/06/23,CHA202506230,ARI,CHA,4,2,Ketel Marte,Pavin Smith,,,
