year,date,game_id,opponent,home_away,inning,streak,player_1,player_2,player_3,player_4
1921,1921/05/29,SLA192105290,SLA,Away,8,2,Jack Graney,Elmer Smith,,
1922,1922/09/23,CLE192209230,NYA,Home,5,2,Homer Summa,Larry Gardner,,
1923,1923/08/13,PHA192308132,PHA,Away,4,2,Tris Speaker,Joe Sewell,,
1925,1925/06/15,PHA192506150,PHA,Away,3,2,Joe Sewell,Glenn Myatt,,
1926,1926/07/12,NYA192607120,NYA,Away,1,2,George Burns,Joe Sewell,,
1929,1929/09/07,PHA192909072,PHA,Away,9,2,Lew Fonseca,Ed Morgan,,
1929,1929/06/07,NYA192906070,NYA,Away,1,2,Joe Sewell,Ed Morgan,,
1930,1930/06/26,NYA193006260,NYA,Away,6,2,Johnny Hodapp,Earl Averill,,
1930,1930/08/02,SLA193008020,SLA,Away,1,2,Johnny Hodapp,Earl Averill,,
1933,1933/07/31,SLA193307310,SLA,Away,7,2,Odell Hale,Willie Kamm,,
1934,1934/09/03,SLA193409031,SLA,Away,7,2,Earl Averill,Hal Trosky,,
1935,1935/04/26,CLE193504260,DET,Home,3,2,Odell Hale,Bruce Campbell,,
1935,1935/06/22,CLE193506220,NYA,Home,8,2,Bruce Campbell,Hal Trosky,,
1936,1936/06/10,WS1193606100,WS1,Away,1,2,Odell Hale,Hal Trosky,,
1936,1936/05/06,PHA193605060,PHA,Away,2,2,Jim Gleeson,Hal Trosky,,
1936,1936/06/13,PHA193606132,PHA,Away,1,2,Jim Gleeson,Earl Averill,,
1936,1936/07/09,NYA193607090,NYA,Away,2,2,Hal Trosky,Roy Weatherly,,
1936,1936/05/30,CLE193605302,CHA,Home,4,2,Earl Averill,Hal Trosky,,
1936,1936/06/24,CLE193606241,PHA,Home,6,2,Earl Averill,Hal Trosky,,
1936,1936/07/28,CLE193607280,WS1,Home,5,2,Odell Hale,Earl Averill,,
1936,1936/08/09,CLE193608091,CHA,Home,5,2,Hal Trosky,Roy Weatherly,,
1937,1937/05/29,CLE193705292,CHA,Home,4,2,Earl Averill,Hal Trosky,,
1937,1937/07/14,CLE193707140,WS1,Home,4,2,Earl Averill,Hal Trosky,,
1938,1938/06/02,PHA193806020,PHA,Away,7,2,Hal Trosky,Ken Keltner,,
1938,1938/06/28,CLE193806280,DET,Home,2,2,Hal Trosky,Ken Keltner,,
