date,game_id,opponent,home_away,inning,streak,player_1,player_2,player_3,player_4,player_5
2000/04/08,TBA200004080,TBA,Away,5,2,Manny Ramirez,Jim Thome,,,
2000/05/09,MIN200005090,MIN,Away,3,2,Richie Sexson,Manny Ramirez,,,
2000/06/05,MIL200006050,MIL,Away,4,2,David Justice,Travis Fryman,,,
2000/04/16,CLE200004160,TEX,Home,9,2,Manny Ramirez,Jim Thome,,,
2000/06/10,CLE200006100,CIN,Home,6,2,Travis Fryman,Russell Branyan,,,
2000/06/14,CLE200006140,CHA,Home,1,2,David Justice,Jim Thome,,,
2000/08/06,CLE200008060,ANA,Home,1,2,Roberto Alomar,Jim Thome,,,
2000/09/30,CLE200009300,TOR,Home,7,2,Roberto Alomar,Manny Ramirez,,,
2000/07/30,BAL200007300,BAL,Away,9,2,Roberto Alomar,Manny Ramirez,,,
2001/07/19,CHA200107190,CHA,Away,3,2,Jim Thome,Marty Cordova,,,
2001/04/06,CLE200104060,BAL,Home,6,2,Juan Gonzalez,Jim Thome,,,
2001/05/12,CLE200105120,TBA,Home,1,2,Ellis Burks,Marty Cordova,,,
2001/08/29,CLE200108290,BOS,Home,6,2,Juan Gonzalez,Ellis Burks,,,
2001/05/28,DET200105280,DET,Away,4,2,Jim Thome,Ellis Burks,,,
2001/05/29,DET200105290,DET,Away,4,2,Jim Thome,Marty Cordova,,,
2001/05/01,KCA200105010,KCA,Away,7,2,Marty Cordova,Russell Branyan,,,
2002/05/30,CLE200205300,DET,Home,2,2,Ellis Burks,Jim Thome,,,
2002/09/29,CLE200209290,KCA,Home,5,2,Victor Martinez,Earl Snyder,,,
2002/07/21,KCA200207210,KCA,Away,1,2,Chris Magruder,Omar Vizquel,,,
2002/09/20,KCA200209200,KCA,Away,1,2,Ellis Burks,Jim Thome,,,
2002/06/05,MIN200206050,MIN,Away,1,2,Ellis Burks,Jim Thome,,,
2003/04/20,CHA200304200,CHA,Away,1,2,Ellis Burks,Shane Spencer,,,
2003/06/17,DET200306170,DET,Away,4,2,Benjamin Broussard,Casey Blake,,,
2003/07/19,NYA200307190,NYA,Away,3,2,Jody Gerut,Milton Bradley,,,
2004/05/26,CLE200405260,SEA,Home,9,2,Victor Martinez,Travis Hafner,,,
2004/08/28,CLE200408280,CHA,Home,9,2,Casey Blake,Ben Broussard,,,
2004/08/09,CHA200408090,CHA,Away,1,2,Omar Vizquel,Travis Hafner,,,
2004/07/16,SEA200407160,SEA,Away,3,3,Matt Lawton,Victor Martinez,Casey Blake,,
2004/09/06,SEA200409060,SEA,Away,2,2,Travis Hafner,Casey Blake,,,
2005/07/09,NYA200507090,NYA,Away,2,2,Jose Hernandez,Jhonny Peralta,,,
2005/06/17,CLE200506170,ARI,Home,3,2,Jhonny Peralta,Grady Sizemore,,,
2005/06/25,CLE200506250,CIN,Home,3,2,Victor Martinez,Ben Broussard,,,
2005/07/04,CLE200507042,DET,Home,8,2,Coco Crisp,Travis Hafner,,,
2005/09/16,CLE200509160,KCA,Home,5,2,Casey Blake,Grady Sizemore,,,
2005/04/18,KCA200504180,KCA,Away,2,2,Casey Blake,Ben Broussard,,,
2005/04/07,CHA200504070,CHA,Away,9,2,Coco Crisp,Ron Belliard,,,
2006/08/23,KCA200608230,KCA,Away,3,2,Aaron Boone,Grady Sizemore,,,
2006/08/24,KCA200608240,KCA,Away,9,2,Victor Martinez,Ryan Garko,,,
2006/08/20,TBA200608200,TBA,Away,3,2,Travis Hafner,Ryan Garko,,,
2006/04/11,CLE200604110,SEA,Home,5,2,Jhonny Peralta,Travis Hafner,,,
2006/06/04,CLE200606040,ANA,Home,9,2,Victor Martinez,Ben Broussard,,,
2006/06/07,CLE200606070,OAK,Home,2,2,Aaron Boone,Grady Sizemore,,,
2006/07/04,CLE200607040,NYA,Home,5,2,Ron Belliard,Jhonny Peralta,,,
2007/05/17,CLE200705170,MIN,Home,7,2,Victor Martinez,Ryan Garko,,,
2007/09/21,CLE200709210,OAK,Home,6,2,Ryan Garko,Jhonny Peralta,,,
2007/05/23,KCA200705230,KCA,Away,1,2,Grady Sizemore,Casey Blake,,,
2007/07/07,TOR200707070,TOR,Away,2,2,Casey Blake,Victor Martinez,,,
2008/08/26,DET200808260,DET,Away,3,2,Jamey Carroll,Kelly Shoppach,,,
2008/04/25,CLE200804250,NYA,Home,5,2,Jhonny Peralta,Franklin Gutierrez,,,
2009/06/05,CHA200906050,CHA,Away,6,2,Travis Hafner,Ryan Garko,,,
2009/06/07,CHA200906070,CHA,Away,2,2,Chris Gimenez,Luis Valbuena,,,
2009/06/07,CHA200906070,CHA,Away,5,2,Victor Martinez,Shin-Soo Choo,,,
2009/07/24,SEA200907240,SEA,Away,9,2,Ryan Garko,Jamey Carroll,,,
2009/07/26,SEA200907260,SEA,Away,6,2,Travis Hafner,Ben Francisco,,,
2009/07/27,ANA200907270,ANA,Away,9,2,Victor Martinez,Jhonny Peralta,,,
2009/08/16,MIN200908160,MIN,Away,3,2,Kelly Shoppach,Luis Valbuena,,,
2009/04/18,NYA200904180,NYA,Away,2,2,Asdrubal Cabrera,Grady Sizemore,,,
2009/04/18,NYA200904180,NYA,Away,5,2,Mark DeRosa,Victor Martinez,,,
2010/07/01,CLE201007010,TOR,Home,4,2,Matt LaPorta,Shelley Duncan,,,
2011/08/01,BOS201108010,BOS,Away,6,2,Asdrubal Cabrera,Travis Hafner,,,
2011/07/17,BAL201107170,BAL,Away,1,2,Travis Hafner,Carlos Santana,,,
2011/04/26,CLE201104260,KCA,Home,5,2,Matt LaPorta,Jack Hannahan,,,
2011/04/28,CLE201104280,KCA,Home,1,2,Shin-Soo Choo,Carlos Santana,,,
2011/09/19,CLE201109190,SEA,Home,1,2,Asdrubal Cabrera,Carlos Santana,,,
2011/09/22,CLE201109220,CHA,Home,1,2,Kosuke Fukudome,Jason Kipnis,,,
2011/07/01,CIN201107010,CIN,Away,3,2,Asdrubal Cabrera,Carlos Santana,,,
2012/08/05,DET201208050,DET,Away,10,2,Travis Hafner,Ezequiel Carrera,,,
2012/07/26,CLE201207260,DET,Home,7,2,Carlos Santana,Travis Hafner,,,
2012/04/15,KCA201204150,KCA,Away,8,2,Casey Kotchman,Jason Kipnis,,,
2012/05/15,MIN201205150,MIN,Away,5,2,Asdrubal Cabrera,Carlos Santana,,,
2013/04/17,CLE201304170,BOS,Home,6,2,Nick Swisher,Jason Giambi,,,
2013/04/30,CLE201304300,PHI,Home,7,2,Ryan Raburn,Drew Stubbs,,,
2013/05/06,CLE201305060,OAK,Home,1,2,Jason Kipnis,Asdrubal Cabrera,,,
2013/05/20,CLE201305200,SEA,Home,2,2,Ryan Raburn,Yan Gomes,,,
2013/06/15,CLE201306150,WAS,Home,4,2,Carlos Santana,Mark Reynolds,,,
2013/04/04,TOR201304040,TOR,Away,4,2,Carlos Santana,Mark Reynolds,,,
2014/07/18,DET201407180,DET,Away,7,2,Jason Kipnis,Asdrubal Cabrera,,,
2014/07/27,KCA201407270,KCA,Away,9,2,Carlos Santana,Yan Gomes,,,
2014/04/12,CHA201404120,CHA,Away,5,2,Nick Swisher,Jason Kipnis,,,
2015/05/21,CHA201505210,CHA,Away,1,2,Nick Swisher,Mike Aviles,,,
2015/07/29,CLE201507290,KCA,Home,6,2,Francisco Lindor,Michael Brantley,,,
2016/06/26,DET201606260,DET,Away,5,2,Juan Uribe,Tyler Naquin,,,
2016/06/21,CLE201606210,TBA,Home,8,2,Jose Ramirez,Juan Uribe,,,
2016/07/08,CLE201607080,NYA,Home,1,2,Carlos Santana,Jason Kipnis,,,
2016/08/11,CLE201608110,ANA,Home,5,2,Mike Napoli,Jose Ramirez,,,
2016/08/19,CLE201608190,TOR,Home,9,2,Jose Ramirez,Tyler Naquin,,,
2017/09/05,CHA201709050,CHA,Away,1,2,Austin Jackson,Jose Ramirez,,,
2017/05/29,CLE201705290,OAK,Home,4,2,Carlos Santana,Edwin Encarnacion,,,
2017/09/10,CLE201709100,BAL,Home,6,2,Roberto Perez,Francisco Lindor,,,
2017/05/06,KCA201705060,KCA,Away,9,2,Carlos Santana,Francisco Lindor,,,
