year,date,game_id,opponent,home_away,inning,streak,player_1,player_2,player_3
1962,1962/05/20,MLN196205202,MLN,Away,7,2,Felix Mantilla,Frank Thomas,
1962,1962/07/24,MLN196207240,MLN,Away,1,2,Felix Mantilla,Frank Thomas,
1962,1962/04/28,NYN196204280,PHI,Home,6,3,Frank Thomas,Charlie Neal,Gil Hodges
1962,1962/08/02,NYN196208020,PHI,Home,7,2,Frank Thomas,Marv Throneberry,
1962,1962/08/03,NYN196208030,CIN,Home,7,2,Frank Thomas,Marv Throneberry,
1963,1963/09/09,PHI196309090,PHI,Away,1,2,Ron Hunt,Jim Hickman,
1964,1964/08/28,CHN196408280,CHN,Away,2,2,Joe Christopher,George Altman,
1964,1964/06/05,NYN196406050,LAN,Home,3,2,Ed Kranepool,Charley Smith,
1965,1965/07/16,SLN196507160,SLN,Away,4,2,Charley Smith,Jesse Gonder,
1965,1965/08/26,NYN196508260,LAN,Home,8,2,Joe Christopher,Ron Swoboda,
1965,1965/04/23,SFN196504230,SFN,Away,9,2,Ron Swoboda,Jesse Gonder,
1966,1966/05/10,NYN196605100,HOU,Home,2,2,Johnny Lewis,Jim Hickman,
1966,1966/07/03,NYN196607031,PIT,Home,7,2,Eddie Bressoud,Ed Kranepool,
1966,1966/09/17,SFN196609170,SFN,Away,6,2,Ken Boyer,Al Luplow,
1966,1966/04/26,CHN196604260,CHN,Away,3,2,Ken Boyer,Ed Kranepool,
1970,1970/05/18,MON197005180,MON,Away,8,3,Dave Marshall,Joe Foy,Jerry Grote
1970,1970/05/19,MON197005190,MON,Away,7,2,Cleon Jones,Donn Clendenon,
1970,1970/06/12,NYN197006120,ATL,Home,8,2,Mike Jorgensen,Tommie Agee,
1970,1970/07/31,NYN197007310,SDN,Home,4,2,Cleon Jones,Wayne Garrett,
1971,1971/05/09,NYN197105090,SLN,Home,6,2,Donn Clendenon,Bob Aspromonte,
1971,1971/05/12,NYN197105120,HOU,Home,7,2,Ed Kranepool,Ken Boswell,
1971,1971/05/15,PIT197105150,PIT,Away,4,2,Dave Marshall,Cleon Jones,
1971,1971/06/29,PHI197106290,PHI,Away,8,2,Cleon Jones,Ed Kranepool,
1972,1972/04/23,NYN197204231,CHN,Home,6,2,Cleon Jones,Jim Fregosi,
1972,1972/08/06,NYN197208060,CHN,Home,1,2,Cleon Jones,John Milner,
1974,1974/05/29,CIN197405290,CIN,Away,7,2,Cleon Jones,John Milner,
1974,1974/07/20,SDN197407200,SDN,Away,5,3,George Theodore,Rusty Staub,Cleon Jones
1975,1975/07/17,NYN197507170,ATL,Home,6,2,Rusty Staub,Dave Kingman,
1976,1976/06/26,CHN197606260,CHN,Away,3,2,John Milner,Dave Kingman,
1976,1976/06/04,LAN197606040,LAN,Away,5,2,Dave Kingman,Ed Kranepool,
1979,1979/06/27,PIT197906270,PIT,Away,9,2,Willie Montanez,Steve Henderson,
1981,1981/09/22,NYN198109220,PIT,Home,2,2,Dave Kingman,Lee Mazzilli,
1982,1982/09/12,SLN198209120,SLN,Away,4,2,Brian Giles,Bruce Bochy,
1983,1983/09/25,CHN198309250,CHN,Away,9,2,George Foster,Gary Rajsich,
1983,1983/04/13,PHI198304130,PHI,Away,8,2,Bob Bailor,Dave Kingman,
1983,1983/07/31,NYN198307311,PIT,Home,8,2,Keith Hernandez,George Foster,
1983,1983/08/02,NYN198308020,MON,Home,8,2,George Foster,Darryl Strawberry,
1984,1984/09/30,MON198409300,MON,Away,2,2,Darryl Strawberry,George Foster,
1985,1985/09/03,SDN198509030,SDN,Away,4,2,Gary Carter,Darryl Strawberry,
1985,1985/06/20,NYN198506200,CHN,Home,3,2,George Foster,John Christensen,
1985,1985/07/20,NYN198507200,ATL,Home,4,2,Darryl Strawberry,Danny Heep,
1985,1985/09/19,NYN198509190,CHN,Home,2,2,Gary Carter,Darryl Strawberry,
1986,1986/07/27,ATL198607270,ATL,Away,3,3,Gary Carter,Darryl Strawberry,Kevin Mitchell
1986,1986/07/20,HOU198607200,HOU,Away,8,2,Kevin Mitchell,Keith Hernandez,
1986,1986/06/02,NYN198606020,SDN,Home,4,2,Danny Heep,George Foster,
1987,1987/06/18,MON198706180,MON,Away,7,2,Darryl Strawberry,Kevin McReynolds,
1987,1987/05/27,SFN198705270,SFN,Away,9,2,Darryl Strawberry,Gary Carter,
1987,1987/04/09,NYN198704090,PIT,Home,2,2,Darryl Strawberry,Kevin McReynolds,
1987,1987/04/30,NYN198704300,MON,Home,7,2,Howard Johnson,Dave Magadan,
1987,1987/05/29,SDN198705290,SDN,Away,4,2,Darryl Strawberry,Gary Carter,
1987,1987/07/10,HOU198707100,HOU,Away,6,2,Kevin McReynolds,Howard Johnson,
1987,1987/04/15,PHI198704150,PHI,Away,7,2,Gary Carter,Darryl Strawberry,
1987,1987/06/28,PHI198706280,PHI,Away,4,2,Keith Hernandez,Gary Carter,
1988,1988/04/04,MON198804040,MON,Away,7,2,Darryl Strawberry,Kevin McReynolds,
1988,1988/04/07,MON198804070,MON,Away,5,2,Darryl Strawberry,Gary Carter,
1988,1988/04/16,NYN198804160,SLN,Home,8,2,Gary Carter,Howard Johnson,
1988,1988/10/02,NYN198810020,SLN,Home,5,2,Keith Hernandez,D Strawberry,
1988,1988/07/25,PHI198807250,PHI,Away,4,2,Kevin McReynolds,Darryl Strawberry,
1988,1988/09/28,PHI198809280,PHI,Away,7,2,D Strawberry,K McReynolds,
1988,1988/05/01,CIN198805010,CIN,Away,5,3,Tim Teufel,Keith Hernandez,D Strawberry
1988,1988/09/07,CHN198809070,CHN,Away,9,2,Keith Hernandez,D Strawberry,
1989,1989/04/17,NYN198904170,PHI,Home,3,3,D Strawberry,K McReynolds,Keith Hernandez
1989,1989/05/18,NYN198905180,LAN,Home,8,2,K McReynolds,Dave Magadan,
1989,1989/08/16,NYN198908160,SDN,Home,5,2,Howard Johnson,Darryl Strawberry,
1989,1989/07/03,HOU198907030,HOU,Away,7,2,Tim Teufel,Mark Carreon,
1990,1990/05/05,NYN199005050,HOU,Home,1,2,Howard Johnson,Darryl Strawberry,
1990,1990/06/08,NYN199006080,PIT,Home,5,2,Gregg Jefferies,Darryl Strawberry,
